indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Participation in public life/political awareness,-5.8496995,-7.5507827,-0.8528204,-3.1767764,1.2032248,-1.7842789,-1.7326086,-5.698318,-0.14565365,-2.9979074,-3.7143214,-0.1215944,-0.6694809,5.012974,-4.777772,-2.024865,0.29550803,2.237482,-0.73812366,2.3496695,-1.8291668,-4.6175513,-2.5781257,3.7003632,-0.7075839,3.657001,1.4354821,1.1574562,4.2507973,1.3355675,1.5177484,-2.055381,-1.1564914,1.7934105,-2.3659441,-1.821975,-2.2471066,1.8112401,0.69818974,-0.25965217,2.2756236,-1.2896464,3.042545,-0.05597224,-2.0763927,-0.68332195,-0.08735573,-2.1702847,1.020625,-0.49203807,-1.3507903,-0.6841117
Public and social services,-3.997445,-2.0966296,-3.2567234,-0.72330034,4.2907605,1.1597517,-3.1334832,-3.0393987,-3.8122995,3.6347911,-4.718154,2.176271,-4.213683,3.4864242,-3.008221,1.9926407,3.7918413,0.4715984,0.45837456,-1.6582315,-2.4617276,-2.8582659,3.0279708,3.22771,0.26591796,2.0760906,2.4089541,-3.1030684,0.13315189,0.6286374,2.8849473,0.50937057,1.8386577,-2.8177714,1.4395945,0.1360544,-1.0006294,-0.002780594,3.4846923,0.89490056,0.5018869,1.9305397,0.094287574,0.45448813,1.0412512,-1.4023733,-0.635413,0.5202062,0.04704901,0.28738987,-0.7393317,-1.2602849
Transparent governance/Efficient and transparent administration,-2.0974185,-1.5701439,-5.5824456,3.3203428,5.727158,-5.384574,-6.536905,-1.5306916,3.3108995,3.9074478,-2.3516934,-2.19142,0.8572293,0.7951882,5.530523,-2.2983744,-0.70053315,2.6513863,1.1371846,2.4174252,-0.472664,1.9567106,-0.83550256,4.5574946,-0.256509,-1.7269149,-1.1669732,0.8551942,3.340609,-0.37110585,1.0782324,-0.766829,-0.2275016,-0.54512596,2.4580832,-1.8448021,-1.0110937,-0.05654931,-0.31421897,2.0597808,1.4379134,0.18185124,3.4630919,0.8686031,-0.7403728,-0.7070068,2.3025827,2.5441325,0.87840617,0.43496606,-2.4740934,-0.37626255
Consultation and Engagement,-2.440711,-5.914485,-3.0535648,2.992774,-3.1695068,-7.480161,-1.5293095,-4.1965213,1.2672541,-4.971597,-0.89281213,3.8299937,0.81414187,-0.9016345,-1.9784486,-0.9715101,-2.661137,-1.3062574,2.5558896,2.0860732,-2.8389823,-3.8960571,2.2684999,3.170332,0.55578077,4.80375,-0.29820263,-4.541472,-0.58881104,-0.13020968,-3.4356444,-1.6031919,-2.9969456,2.791064,-1.277458,-3.2971032,5.095013,0.7579323,-1.5437173,-1.6536072,0.057433754,-2.392744,2.5577927,3.9784822,-1.4853128,1.3236511,1.2333043,-0.5064463,0.5902559,-5.173097,0.40073118,0.5391225
Participation and Partnership,-2.0583298,-5.6234775,-4.9059896,2.6425972,-1.8534982,-8.807253,0.13354725,-4.3670073,-0.14221308,-2.3878853,-3.5361295,2.216371,-1.5518028,-3.729399,0.85469604,-2.6361425,-1.2218757,-2.384506,0.11216131,4.4391556,1.4748816,-3.4404724,0.2822943,0.43092656,-3.9166274,4.8783827,-2.3523803,-3.1874092,-1.6935309,-2.039061,0.4309529,0.88614595,-2.814222,2.4562054,-1.5156481,-3.3026707,-2.1440632,-1.9962096,2.0127664,-1.479526,-2.4908838,0.68803936,1.5551107,0.83779216,-3.6961474,-0.020620853,0.023248896,-0.02449143,0.69012624,-0.93636554,0.47477397,0.8164905
Participatory master plan,2.0972948,-9.94354,-6.1934233,3.2498436,-3.0780206,-7.4801903,-3.2552395,0.4699754,0.33504555,-2.0147035,-1.8602531,3.300902,-0.019303143,-0.5104376,-0.1264328,-4.7231646,0.67754066,0.9449597,1.0116698,5.4932528,0.07309893,-2.3162727,2.1691566,1.0548275,-1.6981732,4.2937593,1.4112911,-2.258752,-2.107327,0.066656016,3.60789,2.068583,0.20220974,2.5363252,0.3554324,-0.99583584,1.1687443,-1.8628691,-1.150518,-0.2876733,0.4101019,0.07466486,1.4135625,1.6229625,1.9072962,0.63569546,1.5554655,1.1118219,1.2811587,-0.76297855,1.5116887,-0.046674572
Social Involvement,-1.8344688,-5.774212,0.07245006,2.1590111,0.12180516,-2.6820507,-1.3714414,-4.965168,-0.6232221,-2.0454304,-4.5076003,1.7237965,-0.66594964,-1.1632985,-5.3167768,1.4085286,2.168735,-2.2970538,-2.1782327,3.0651004,1.2028973,-3.394929,-0.48998415,2.0634913,-2.3901727,3.965626,3.3471947,-4.1884766,-1.5549648,1.817962,2.693508,-1.3249559,-0.8314003,-3.4543967,0.7184357,-4.1318693,-1.4309316,-1.5001237,3.1357741,-3.4328272,-1.2534139,1.020293,0.30433345,-0.75123435,-0.37686205,-1.7568452,-2.4124568,0.31199536,-1.26075,-1.3689642,-1.1481756,-2.9304829
Rate of citizen particip. in public affairs (public hearings),-9.983996,-5.799157,3.9156952,-2.7515433,1.8394121,1.5941646,-4.454352,-6.4781957,1.5032576,-4.2725916,1.2965845,3.5710046,-1.5668931,0.8979374,-3.6487699,-2.6666913,-6.269676,1.837081,3.3386464,4.0996847,0.87868047,-1.0192823,-0.81737375,3.053559,2.042024,-0.8866285,2.990755,-3.4202852,1.8589709,1.9755721,-2.9876356,-1.912327,-3.00438,5.372213,-3.323318,-4.049738,-0.46558207,-1.5056512,-1.3407855,-1.847252,4.990851,-0.9402404,2.8218775,0.13772218,-2.9071145,-3.1665318,0.8277465,1.0134808,0.4900093,-2.3276658,0.18820268,1.6262722
Public Participation,-6.6207333,-7.0607758,-1.2684071,-4.119187,-0.1084408,-2.4457676,-4.1870813,-4.787251,-5.722598,0.22601682,-4.925641,2.1797647,-0.10887721,-1.4519393,-6.641742,-3.965169,-1.3075603,1.0453119,0.44106418,4.515697,0.041554708,-4.722055,-1.0383456,1.610898,1.2136765,1.8645353,1.0939454,-1.5500873,-1.1780771,-0.67324847,-0.6746774,-4.255756,-0.5129027,4.7452745,-1.4575016,-2.3147051,-3.2971663,-1.0371622,1.0275526,-1.8394368,3.4712777,0.61046827,0.5416341,1.9422724,0.255589,-0.8787006,0.38245395,1.2445899,0.85893756,0.13781098,0.75652623,3.203455
Public participation and stakeholder engagement in decision making,-3.5608978,-7.1597543,-4.618852,-1.354301,-4.135985,-1.4909037,-2.2752085,-2.932818,-2.0531633,-4.742845,-3.9720163,3.3933873,-0.0964506,1.6580377,-2.564757,-4.726001,-2.105368,0.94875705,2.5316691,5.7409167,-0.42685246,-4.9866323,-0.7821033,1.1529027,-0.08552657,2.5667305,0.84720415,-4.047434,-0.24253485,2.556748,-1.6475801,-1.132942,0.12172281,8.746603,-0.88878226,-1.2594949,1.936891,-3.1224875,0.083017014,-0.62912536,1.645267,-0.6256211,3.3909044,3.4538794,0.67595434,-2.9170785,0.27554846,2.2039127,0.61147213,-0.74464387,-1.1003356,1.7918738
Status of inter-sector collaborations within individual cities,-6.309612,-7.2403812,-1.6041691,-0.7509376,1.2250842,0.88577914,-3.9917378,-2.0811112,-2.9538107,-4.4418945,2.8547294,1.2241677,1.1575035,-3.2530732,-0.42645204,-3.7558413,1.5522981,1.5843709,1.6297277,-2.5914576,-0.086054966,2.5156155,0.5715638,-0.24150957,-3.9743428,0.25764343,0.6076107,-1.4845462,-0.27880964,-2.1023965,0.068060905,0.57443285,-2.7812712,0.49711108,-0.95158505,-0.8455509,0.7907229,0.26312882,2.9002104,-0.28429627,-2.9903607,-0.26115757,1.6183132,2.48977,-0.28383118,-1.0668529,-1.2207447,-0.76107264,-1.2090882,-0.42810968,1.4938359,-1.5992956
Stakeholder consultation,-0.35364962,-5.8763914,-4.987726,1.2040671,-4.510134,-7.639958,-0.0873816,-1.6463089,-6.554599,-3.8620281,-0.20097798,4.9106016,3.1025715,2.1791627,-2.8140104,-4.5811977,-3.0549693,2.223218,0.9798333,1.8880311,-1.0626211,-3.5143628,-0.8028412,0.9744207,-0.65433466,3.8355348,1.2602965,-4.31468,0.13465366,1.9698105,-2.41278,-1.6321017,-0.8836905,3.6376896,0.387392,-1.5251554,5.475687,-1.939748,-0.957761,1.3702439,3.4089398,-1.1970167,2.7320719,3.4235013,-0.33324683,-1.5825516,-1.204591,1.7250272,-0.58189046,-3.8912265,0.23356491,0.8726046
Identity and local culture,4.9324145,-6.4266944,3.9778032,-1.5200975,-4.4290075,3.1580293,3.5061398,-5.710927,-0.9677392,-0.4875297,-3.632582,-1.5363481,1.8411562,-3.2831497,1.1067665,-4.9502087,5.524721,5.3400087,-4.7304807,-1.2712984,-2.2075844,-0.22639847,-1.0538691,2.0339742,0.25790292,-0.19667894,1.0421596,4.733161,-1.4783944,-1.5742847,-0.1411794,-0.002587527,1.4742401,2.8163936,-1.8832219,1.7551522,2.6654985,-0.24873537,-0.62818956,-0.63340855,0.98501945,-2.1547456,-1.3888502,-3.066261,-3.0647035,-0.83263034,2.2836785,0.41548145,-1.5061126,-0.0024474114,0.27090824,-0.7764292
Cultural Facilities,6.3556957,-6.506573,0.14701807,-1.4784493,-5.6795454,2.238679,-4.43077,-4.660847,-1.4923599,-0.6266166,0.26480395,-0.24165416,-5.8868027,0.6973877,-1.4427968,3.5001493,-2.1752245,1.8046255,-5.800858,-4.1496935,2.2018275,1.3670168,1.2388389,1.3747287,-1.49969,-0.9499681,-1.529052,-0.20775229,-1.7581141,0.6324967,1.8575459,-2.5689483,-2.3543882,-0.92714983,-0.681283,-2.3673851,1.3117,0.6837393,-1.876435,0.82762057,0.030750774,-0.62839985,-1.5257998,-1.5672745,0.47733462,0.19715343,-1.9056978,0.76246905,-0.86925435,1.2077397,-0.047818154,0.27838737
Heritage and Cultural Identity,13.434022,-3.7794545,0.9437595,1.9436629,-8.021666,2.0160472,0.5427977,-4.8488846,-3.0535145,-2.140769,-2.9821217,-5.4499907,-3.341576,0.6195067,-0.321864,2.8071008,0.22780135,5.824063,-2.321317,-0.45200384,-3.7146378,-0.14047948,-1.237913,-1.2181135,3.6301217,-1.0933995,0.7154889,2.5479145,-1.036945,-0.6045977,0.2843555,0.50111645,1.0579872,0.6543286,-0.27192664,-1.2254298,0.033159792,-1.9192297,0.62525153,0.62718564,-1.7595634,-0.06253496,0.3338254,-0.8446491,-2.0636675,1.4515758,0.18215367,-0.043869123,0.27727765,-0.24736977,0.205294,-0.5067285
"Preservation, valorization, and diffusion actions of material and intangible heritage",8.383732,3.1903398,-0.34406388,0.2269291,-8.157175,4.4967103,3.385673,0.58087647,-3.2161734,3.4023952,-1.5719688,-4.1779113,-5.949445,2.16296,3.143017,0.32103094,-1.2968359,-1.1726245,4.0988164,-1.7941825,-0.5339599,1.644721,-0.1772381,-0.36112198,0.92457163,3.8005688,-2.7750964,0.51198053,-0.7775158,0.7389721,-1.4757769,-1.7616048,-0.851996,0.5529823,-0.30449188,1.3371465,-3.2161415,-1.4902425,-0.9348608,-0.3474593,-2.094605,2.0803475,0.27713454,0.053433508,1.500442,-1.0781112,0.92453027,-1.4369738,0.40827695,-1.5094635,1.2137996,-3.8895974
Citizen education campaigns,-1.3126667,-6.6652284,-1.2556237,-0.39983737,-1.1100967,-3.317215,4.3777585,-5.115571,4.0704,-2.4015732,-2.193655,6.4363146,-0.49321914,3.8490171,-2.1814082,1.6541691,4.666318,2.0888565,-0.9000568,0.37374723,0.9572459,-2.2083902,-2.2262022,-0.09276575,5.9265027,2.857708,3.1485534,-2.079217,4.356185,-2.2653027,0.19447082,-0.6828345,-2.1215973,0.84806436,-1.7816734,1.8892984,0.072131336,0.78760636,-2.292783,0.36556354,3.6194887,2.1402533,0.19568865,0.3020655,-2.448301,-0.5935047,-0.119277894,0.14464071,-0.72588944,-0.0068504214,-0.12636468,2.2846146
"Cultural centers, houses, and cultural spaces",5.759071,-7.013212,3.8470244,2.7841358,-4.27648,3.7138953,-4.354886,-3.9154472,-2.9157326,-0.60054815,0.5821514,-0.7347333,-6.8562207,2.1292186,-0.5376757,4.097882,-2.4082146,1.8492285,-5.838195,-0.74063575,-3.8488553,1.1846848,-1.8738687,-0.14088893,-2.750606,0.6764186,-3.2237084,1.9182211,0.7214264,1.8169816,3.8800807,0.86557996,-1.9441496,-0.80318826,0.20025204,-1.6370043,0.58273166,0.30623102,-2.7967734,2.5878372,-0.23472866,-0.54657984,-2.0010107,-1.9235156,0.046930656,1.3659716,-0.9458939,-0.37166512,-0.092956275,1.68823,-0.018939704,-1.1559422
City council of culture and historical heritage,4.6983585,-5.203346,2.7531362,-5.3175445,-3.301914,8.328139,-1.8216743,-5.408332,-3.2261577,-3.9812534,-1.7161732,-4.0554867,-2.0553565,-0.010515645,0.90531623,2.6301503,2.7226372,5.663045,-2.367217,-2.0715644,-2.925327,-0.85063636,-2.1540954,-2.484099,2.3427992,-2.3382456,-1.5572584,0.4569511,-2.0990474,-1.9460188,1.7132529,0.7852944,-1.7981052,-0.8361065,0.026939973,-1.2190888,-0.090004474,-0.16954778,1.2737787,0.81381726,0.77946377,-1.1310031,0.6032056,-0.17725478,1.5370778,1.2239506,0.25409532,-0.4388249,0.0011757761,-1.9738057,-0.41129327,1.0515993
Municipal Public Resources for Culture,-1.5277221,-1.4865931,1.3367743,-6.4172153,-3.174901,13.614126,-1.2081785,-2.4663606,-1.0790129,-0.37490356,-4.7694497,-1.3447102,-1.6592335,-0.5899949,0.22920349,0.7554337,4.388461,3.2031898,-0.43589678,-1.8589072,1.5239539,-1.1986827,1.2766538,1.1350358,-0.3717985,-0.11183999,-0.62049174,-0.5891356,-3.2018752,-2.308928,2.3459892,0.58594286,-2.0104504,-0.77142656,-1.6154673,1.0881917,0.7223067,0.66708505,0.9032837,-0.3526103,1.3144884,-1.979794,-2.9503913,3.4648337,1.3555318,-1.8087935,0.9303703,-1.7805185,0.94337046,-0.06001675,-1.6616603,1.075228
Safe cultural and religious sites,9.435692,0.56239444,3.7175975,0.12458572,8.91236,6.400717,7.965811,-6.049407,0.7371282,2.237021,0.3962506,0.25044936,-1.9641116,-4.152808,-1.1458504,3.4249349,-2.1255593,0.36625296,-5.0565495,-2.8323069,1.8110265,-1.2993983,-0.9092471,-0.11186129,-2.7399473,-2.5418568,-1.0977819,-4.0185485,0.92229956,1.1428133,2.473284,-1.6606582,-2.0408602,-1.3605541,0.63997114,0.50971466,2.0013072,-3.295939,-3.9159906,0.53989315,-2.1298892,-0.50757265,-1.7301712,-0.6425508,1.2401352,-2.0880477,-1.1280981,1.609257,-0.3019189,0.72190464,-0.5531627,2.7671793
Participation in Cultural and Leisure Activities,3.7144556,-8.551407,4.440926,-9.20035,-2.067381,2.8762624,-3.5735931,-3.5011072,-2.070472,3.3488586,-3.7375839,3.397078,-3.3774843,-2.5372844,-2.7689605,2.517908,-2.8819096,0.8687971,-3.832242,-0.24551052,1.5963432,-4.654434,0.60549897,-3.366283,0.9380813,3.4136844,-2.6848397,-4.1860924,-0.22520491,-2.4073114,3.0266852,-1.1199833,-0.5093205,-0.82174736,-1.8324883,-1.2356079,0.8168694,1.6353796,-0.5020951,-0.95865643,-1.469949,-0.84019685,0.28402656,0.2643388,1.3271096,2.197836,1.1747229,-1.3899263,0.6302939,0.04649213,-2.141614,0.0613679
"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",6.955372,-9.132431,2.162929,-3.6018949,-1.7943583,5.347556,-5.003401,-1.1074061,0.3732826,0.16615653,-0.05050938,0.06865622,-7.207863,1.8752275,0.7206268,5.6183643,-2.6121106,-0.8303796,-3.8172898,-2.9952059,0.3968038,-0.51838136,0.81475514,-0.28719956,-0.8544724,2.6329024,2.9066772,1.1883863,0.6504309,0.08576208,1.2357785,-1.3406544,-0.4063316,0.6831144,-0.8888117,0.61476123,0.49717683,0.7214907,-0.69975764,-0.51080513,-1.6685315,-0.1449787,-1.8158283,-1.465259,-1.8308636,-1.9450619,-0.36562213,-2.9596086,-0.10731636,2.2701712,-0.10945186,-0.91668373
Protection and management of cultural heritage,16.413654,-2.237432,-2.804136,-0.2752453,-1.2218077,4.3723383,1.5238817,-2.3360214,-5.0672584,-2.785563,-0.52770007,-4.0128827,-4.275055,2.4618788,-0.8995101,-0.10074434,-2.2211328,3.0924604,0.40809703,-0.71361196,0.16495356,-0.5241997,-1.0676751,0.8508618,0.60984486,-1.5802944,-0.623091,0.6399367,0.22783728,-1.5924748,1.520151,-1.5142865,-0.6240709,-2.843966,-0.87326014,-0.85858727,-1.0023706,-2.180245,-1.2721386,1.541303,-0.81870025,1.1928521,0.15908733,0.4415907,0.27450398,-0.6773584,0.6873239,0.053802256,0.9186941,0.7720742,-0.91889423,-1.6715525
Young population,-4.964033,-6.129038,5.1035933,0.5144981,1.6729825,-2.1157346,0.15648958,-5.1500587,3.7631774,0.9478341,-3.413385,3.0398645,7.267775,-0.5510094,-3.7943366,1.8030922,4.4107275,-2.3055542,-3.4828048,-0.5749196,5.79863,-0.352495,-1.1953971,4.84132,3.109222,-2.386529,0.4268588,3.4407043,-3.7662344,0.6790644,2.056005,-3.3344245,-0.041621268,-0.10293305,1.7418513,0.75150466,-2.2671108,0.15622997,0.70410013,-0.30281484,-0.7578656,1.0999362,0.8017199,0.17559664,1.1653638,0.8092081,-0.8511877,-0.236503,-2.4398334,2.6238294,-0.06342897,2.3868961
Elderly population,-1.0382127,4.737624,5.888423,6.8968115,-0.38587007,-4.810234,-1.3304123,-2.1305583,-6.5686255,4.691366,0.16576004,-4.7323685,-2.8263996,-1.2183938,-0.10768187,1.6698985,-3.9434083,3.9240146,7.321825,5.390639,-1.6378548,-3.5225964,-0.94619966,-2.2101717,3.5397663,-3.2049274,-1.1574264,-2.2743068,-1.7126638,-0.5551908,-2.07402,-0.82352245,2.225562,1.176583,-0.7671811,-2.9303782,-2.7241485,-2.1669078,5.5158305,4.7632446,2.0759935,-0.08359423,-3.6848726,-1.3138965,-0.10974854,-1.4387567,0.19209081,-3.0745907,-1.0034409,-0.6172608,-1.0197278,-1.4711103
Resident population density,-7.77974,-2.624032,8.412198,5.7632,1.411936,3.6408143,-0.37100592,1.2753003,-5.515389,-1.6652114,0.3865177,-0.48910278,-0.021121144,-0.8594478,-4.50482,-2.1340532,-0.20317873,4.842355,-1.2822274,4.4690247,2.2979128,3.7511213,-0.3677941,-1.0962678,1.231086,-1.1003187,3.2753487,-0.7061988,-1.8204161,1.9846796,0.95072055,0.30832148,-0.9025241,2.912079,-1.3443003,-0.97712463,-1.6837739,1.8907225,-1.3272939,-1.7779638,0.489204,3.1051447,-2.9998987,-1.6952165,1.717382,1.7223505,-1.0337617,0.7545124,-0.5926039,1.4724582,-0.26366252,0.27640057
Municipal human development index,-5.7316666,-5.8030105,2.094437,-4.6569757,3.4747233,5.229925,-0.85443485,-1.0027678,-1.8710117,-2.9116125,0.44831517,0.39609504,3.571343,-0.3862103,-0.7001643,-2.4563603,8.24362,3.6041312,0.5346996,0.6159258,0.9884802,2.1739528,2.0539618,-1.4213239,2.3143487,3.7086504,0.5850059,-1.7566849,-1.5498424,-0.26133147,-0.4719762,1.139809,0.5231955,-3.118626,-1.4314106,0.40664023,-1.1202261,3.0416107,0.68758184,-0.23010348,2.0238264,0.7990906,-2.0496771,3.0336304,0.8362942,0.102252185,-0.97393954,-0.40585274,2.012013,-1.3696406,-0.62328315,-2.106719
Percentage of urban population,-13.605446,-4.0044794,2.7928524,-0.8909304,2.0850925,5.6688027,0.49706292,-3.7793446,-3.0196304,-6.456977,-3.3096557,-5.428376,4.0661144,1.4193017,-1.9726124,0.7506144,2.5143032,2.5684347,2.9038002,-0.8549649,-1.1319357,0.08684776,-2.1971676,1.4277383,-2.24369,2.4288075,1.8121825,-0.41271412,-2.438558,-1.2052045,1.4618144,-0.9063661,-1.0571027,-0.27453882,-0.24076895,-0.065295756,0.08166966,1.1659224,-1.3654599,-0.4977192,-0.24399894,-0.252855,0.9164914,-0.28479,1.2130623,-0.9775483,0.80841297,0.28265774,-0.20517427,0.054554008,-0.76918685,0.78749657
Population density (persons / km2),-9.888098,-1.8976166,8.026257,-0.0056715757,4.152921,2.7256155,-2.3146608,-3.3453484,-3.615007,-0.18721509,-1.7090247,0.6781986,-0.3516422,2.744985,-2.9446626,1.4801563,-0.3142297,3.9263196,2.904667,0.16114464,5.6388755,2.6893609,0.4376071,-0.009878516,-1.3393549,0.24740091,0.6670128,1.0971817,-4.050523,0.22637418,0.7710278,2.5767322,-1.4054945,2.5588503,1.3994019,-1.9306626,2.1567671,1.2167289,-0.81699574,-0.78732467,-4.0022492,0.7739064,-1.5403681,-0.14887172,2.7241545,-1.5049787,1.3584217,0.68947816,-0.69838005,0.25567347,1.0684842,-0.7844675
Change ratio of young female population,-6.859091,-2.6399195,7.8867607,2.8210533,-2.9036865,-0.2839919,-1.1932181,-7.1248302,4.8678107,-2.4112952,-2.7746873,1.3404047,4.2017546,-0.46035403,-3.0143456,-2.10116,2.1384146,-5.056614,2.4423726,0.39986232,3.0153408,1.1716954,1.3169165,4.0452394,1.7484418,-2.1063523,0.8756026,1.9734161,-5.2987733,1.1837413,-0.75667393,-1.4646236,1.191755,-2.482687,-0.31440988,-0.38305545,1.0675725,-4.436332,1.2932339,-1.307811,-1.3074789,-1.107318,5.87991,0.84900475,1.0865585,-1.088074,-0.9165126,1.2923174,0.72708166,5.3207946,-0.5815326,1.4927517
Density,-5.956787,-6.158553,0.58507454,1.6395015,-0.05889404,-3.0347776,3.4089608,2.8848867,-1.653969,-3.2122264,-1.5627459,-3.1408875,4.1716623,2.848687,-3.6085317,5.9471827,0.15514748,3.069866,-0.9629977,1.8559902,1.4129164,4.4944963,-1.4407008,-3.6737647,-1.2971513,2.999154,2.9647605,0.23563987,-0.29009923,0.7845532,1.3661017,0.30196464,0.6481918,3.415399,1.2146401,-1.4253275,-0.41977453,2.4452345,-0.14254269,-0.13546993,0.5608894,1.8377235,-3.0110483,-1.9625604,0.57241523,3.1331277,0.5126442,-3.02111,0.33889297,2.2094808,0.9044154,0.08147753
Population growth,-8.427851,-6.07757,1.8883889,1.0813066,0.26851442,-1.3914635,-5.4855886,1.0410364,-2.20813,-3.850382,-4.286219,2.1211483,6.922882,-0.026893198,-5.9673934,6.1813707,-4.7567616,1.0313787,0.56388175,3.0046976,5.1811905,1.8400762,-1.5862164,-3.0492926,2.2295055,-0.85375285,1.6900401,2.1121309,-2.5409172,3.602675,-1.635849,-0.36912343,0.5759662,0.005478004,1.5393404,-0.35710192,1.4591539,0.014333248,0.43057868,-0.42007285,0.75518805,2.7499819,-2.0354795,-1.3075882,1.69641,-2.0297177,0.4708524,1.6591909,-0.19866118,3.473796,0.0031034946,-0.47011548
Proportion of single-parent families;,-3.0233028,-2.0054889,8.820651,9.791356,-4.682852,0.5162515,3.583689,-1.8635101,-2.3001697,3.4682808,0.20013455,2.0154243,2.1849868,0.754925,-0.5861984,-6.9890695,1.7077591,2.4325352,-0.11391613,2.8135083,3.4006326,-0.034644455,-0.34510618,1.6362823,-0.2040796,-6.136651,1.471041,0.30550143,-2.7207315,-0.42162544,3.8229518,0.18936506,-1.0783675,1.1195642,2.2740679,3.8680892,0.8596417,-0.9855181,2.6976852,-0.059820265,0.7587269,0.566361,0.6887856,2.6490104,-0.71459067,1.2770205,2.4318812,2.6908007,-0.65862054,1.2472413,1.3171163,-1.3940346
Proportion of people 65 years and over,-1.9180064,2.3101346,7.7600856,6.5434203,-2.7298245,-5.530945,-0.24685901,-1.2022512,-3.3073545,4.3368444,2.1706915,-4.824228,-1.345151,-0.80055714,-2.9512331,-1.3855717,-5.0965395,2.3868032,6.1857576,2.2942412,-0.3304897,-3.8530025,-2.465095,-2.1952462,-1.885963,-0.8176677,4.0192122,-2.267815,-2.3145742,0.03909421,-2.9931786,1.024344,2.2684693,-2.1509686,0.3390365,-0.6633781,-1.9588931,-4.044536,8.171682,3.7768908,0.85760826,2.3695197,-3.2143147,0.5750475,3.785101,-2.8141334,1.9602492,-0.63035405,-0.1610934,-2.0102227,-1.7774104,1.3394886
Proportion of people 65 years and over living alone,2.377365,2.10071,10.388216,9.660501,-1.4728082,-2.907875,3.4257398,0.14759883,-6.965994,5.306876,3.1315668,1.0791721,0.81347394,-3.7224727,-3.5327477,-3.3422403,-0.7263335,2.2985082,1.6925492,3.1613295,-0.71233743,-1.5077548,-0.435372,-6.370239,2.0674567,-4.650511,3.8159246,-1.1078143,-2.973781,-3.8173966,-0.55051595,1.8113772,3.1451082,-0.44884783,0.45653886,1.9023461,1.3965113,-4.3221993,5.831533,3.1399736,1.6410749,0.0096459985,-3.4054468,1.8018614,1.9690809,-0.93576276,2.5454898,-0.81922597,1.2917699,-1.2596405,-4.5306168,-0.04563333
Population under 20 years of age,-7.3835483,-1.3280609,6.4831705,2.239446,-1.847687,-4.233235,6.172909,-7.036299,3.9867735,-2.4002674,-1.1964111,-0.6863082,1.819798,4.7545376,-3.5367835,2.6675363,3.5402112,-5.6488075,-1.8441468,2.5616252,3.5302134,-2.5203815,-1.9610205,5.0069914,2.4122782,1.9417534,2.2539692,0.6502602,-2.6407483,2.5782669,3.7202482,-4.109959,1.5586267,-4.657899,2.866159,-2.8249903,-3.7463458,-0.5316561,1.4427593,-3.2652175,-0.52057356,1.7870883,1.5941588,1.0889343,4.534952,3.5388095,-0.76680285,-2.817732,-0.6940086,-0.3400676,-1.0570132,-0.79669476
Population18 with less than high school,-6.3452554,0.18509027,7.6270733,2.767905,0.770877,-5.234208,3.86483,-5.788024,6.623105,2.7907102,1.7229435,2.118903,2.573292,4.361861,2.6371968,1.3486578,5.168628,-3.2136362,-0.50902647,-0.19421715,1.0801908,0.6386711,1.8990959,1.9421437,4.742246,-1.0939518,-3.9559662,-0.21292594,-2.2552547,0.8656335,-2.468755,-1.8065495,-3.6226263,-3.3866735,0.5219033,-3.545351,-1.9290057,4.433005,0.1833956,-0.71750003,-2.6913707,0.6157842,-0.77475333,-0.21648034,0.73602533,2.71657,-1.7764695,-0.5628902,-1.985993,0.41408917,-1.1705915,-0.6484636
Urban population density (p.Km2),-11.874559,-0.92765373,0.29055464,-2.819273,4.184664,4.2521544,1.7385888,-1.2330062,-2.4643214,-2.3256814,-1.1659901,-4.6969585,0.7441417,4.8700047,-0.56122375,3.98204,1.1389236,1.8571362,0.8701384,0.6691984,3.2011914,0.6887989,-3.0396616,0.30622184,-2.9070122,2.3223298,0.92800283,-0.38871694,-1.7372005,-0.6474906,0.9690923,0.6941777,-2.354505,0.07275097,2.2629364,-1.263327,2.5539238,2.0060327,0.766648,2.1190112,-2.6212,-0.6505228,0.90073925,0.2982431,1.8049484,0.1924681,0.030406464,1.3843925,-1.1710298,-1.771366,-0.65023893,-0.62675333
Overcrowding,-8.827108,-4.340074,0.23071542,3.0410953,0.9970957,-2.8325653,-4.0261817,0.012075409,-2.904904,0.61968726,-1.8103733,0.66929686,2.6984708,1.5610957,-1.7349819,13.116475,-8.31826,0.06836337,3.8677914,3.7825537,-0.88711935,-0.22564942,-5.503212,1.6539769,-2.477176,-0.3209526,-0.3366188,2.5671468,1.4367019,4.2720127,-1.800567,1.903729,0.4364733,1.3765435,0.79488134,-1.5135754,2.2337544,1.0005162,1.6440158,0.33642042,1.388496,3.8165536,-3.329245,0.11782302,-0.05946383,-1.4369848,4.1973624,0.4877491,-1.8223367,1.4361508,-1.8049192,1.092692
