,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
"Public Health, safety and enivironmental education for adults",Areas and objects of educational or scientific value,Institutional management of International fests or expert meetings,Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Well-preserved village,"0,31","0,28","0,26","0,26","0,26",general
"Public Health, safety and enivironmental education for children",Educational,Areas and objects of educational or scientific value,Promotion and education in Past Identities programmes and spaces,Scientific/educational landscapes,Safeguarding the terraced landscape,"0,53","0,39","0,36","0,33","0,3",general
Public Participation,Community participation in process and type of participation,Number of citizens initiatives,Opportunities for ocean viewing,Accessibility,Type of information given to visitors before and during site visits,"0,78","0,7","0,42","0,42","0,4",general
Public Revenue Per Unit Area,Community arts funding,Development of a public arts fund,Historic monument values,Effect on Property Value,Valuation of local culture,"0,56","0,49","0,49","0,48","0,47",general
Public Space,Urban green space,Attractive streetscape,Acres of open space,Viewscape quality,Enhancement urban green,"0,55","0,45","0,41","0,39","0,39",general
Public Transport capacity,Accessibility,Adjustment for disabled,Occupied spaces,Pressure of parking,Critical distances in the network,"0,44","0,25","0,25","0,25","0,23",general
Public Transport fares,Community arts funding,Development of a public arts fund,Funds for the improvement of the physical urban environment,Values,Pressure of parking,"0,36","0,34","0,33","0,32","0,31",general
Public Transport network,Critical distances in the network,Funds for the improvement of the physical urban environment,Museums,Urban green space,Accessibility,"0,35","0,29","0,28","0,25","0,21",general
Public Transport speed,Linear elements indicator,Porosity,Dike,Funds for the improvement of the physical urban environment,Enhancement of industrial,"0,23","0,21","0,21","0,21","0,2",general
"Public access to Health, safety and enivironmental information",Percent satisfied with cultural integrity/sense of security,Type of information given to visitors before and during site visits,Safeguarding the terraced landscape,Hotel architecture harmonized with environment,Compliance with tourist guidelines,"0,26","0,25","0,24","0,23","0,23",general
Public access to health services,Accessibility,Process transparency,Therapeutic value,Degree of unobstructed view,Number of healing plants,"0,44","0,37","0,34","0,3","0,21",general
Public and social services,Social preferences,Social bonds,Community arts funding,Number of citizens initiatives,Free time & social interaction,"0,35","0,3","0,29","0,29","0,27",general
Public assets,Historic monument values,Development of a public arts fund,Community arts funding,Effect on Property Value,Opportunities for ocean viewing,"0,38","0,33","0,31","0,31","0,3",general
Public car parking availability,Pressure of parking,Parking places in building surroundings,Accessibility,No. of visitors and tourists,Wildlife (used for viewing),"0,69","0,51","0,36","0,31","0,31",general
Public education on emergency response,Educational,Scientific/educational landscapes,Crucifixes,Churches,Chapels,"0,52","0,31","0,3","0,26","0,26",general
Public facilities and spaces,"Cultural, leisure and sport facilities, programs, courses",Places of events,Accessibility,Opportunities for ocean viewing,Occupied spaces,"0,48","0,46","0,36","0,36","0,33",general
Public green areas per capita,Urban green space,Enhancement urban green,Trees Land Cover,Degree of unobstructed view,"Places of socialisation (parks, benches, etc.)","0,76","0,51","0,42","0,41","0,39",general
Public parks and gardens,Parkland,"Places of socialisation (parks, benches, etc.)",Garden,Areas of importance for landscape-related recreational use or tourism,Garden planning suitable with environment,"0,69","0,58","0,57","0,56","0,44",general
Public participation and stakeholder engagement in decision making,Community participation in process and type of participation,Number of citizens initiatives,Process transparency,Type of information given to visitors before and during site visits,Clear strategy,"0,67","0,55","0,42","0,4","0,36",general
Public transit,Critical distances in the network,Funds for the improvement of the physical urban environment,Museums,Urban green space,Dike,"0,3","0,25","0,25","0,24","0,19",general
Public transport demand,Pressure of parking,Funds for the improvement of the physical urban environment,Accessibility,Porosity,Critical distances in the network,"0,41","0,33","0,31","0,28","0,25",general
Public transport lanes,Pressure of parking,Accessibility,Linear elements indicator,Porosity,Clear strategy,"0,37","0,29","0,27","0,25","0,24",general
Public transport supply,Accessibility,Funds for the improvement of the physical urban environment,Critical distances in the network,Community arts funding,Process transparency,"0,41","0,25","0,23","0,23","0,22",general
"Public transport system and its quality, diversity, and multi-modality",Funds for the improvement of the physical urban environment,Critical distances in the network,Places heterotopic,Number of cultural–educational programs.,Audiovisual and multimedia performances,"0,39","0,33","0,32","0,31","0,3",general
Public transportation ridership,Audiovisual and multimedia performances,Museums,Community participation in process and type of participation,Performing Arts,Crucifixes,"0,26","0,25","0,21","0,18","0,18",general
Qualification and skills,Enhancement of industrial,Educational,Events successfully implemented and evaluated,Promotion and education in Past Identities programmes and spaces,"Workspaces of Artisans, Intellectuals & youth","0,55","0,55","0,51","0,47","0,46",general
Quality of drinking water service,Maintaining traditional irrigation system,Cleanliness and Improvements,Perceptions of marine associated spirituality,Hotel architecture harmonized with environment,Percent satisfied with cultural integrity/sense of security,"0,4","0,34","0,33","0,2","0,2",general
Quality of housing units,High architectural values,Proximity to residential areas,Hotel architecture harmonized with environment,Listed built elements,State of the building,"0,57","0,53","0,5","0,48","0,47",general
"Quality of internet service (e.g., download and upload seeped)",Dike,Diminish the negative visual impacts of forestry operation,Perceptions of marine associated spirituality,"Impairments through visual, acoustic or olfactory disturbances",Number and visibility of disturbing elements and objects,"0,41","0,4","0,35","0,34","0,33",general
Quality of wastewater treatment service,Cleanliness and Improvements,Ensure the quality of the traditional resource use activities,Maintaining traditional irrigation system,Therapeutic value,Plan that does not spoil natural and historical environment,"0,41","0,36","0,36","0,29","0,26",general
"Quality of water resources and water bodies, quality monitoring",Perceptions of marine associated spirituality,Cleanliness and Improvements,Hotel architecture harmonized with environment,Plan that does not spoil natural and historical environment,Ensure the quality of the traditional resource use activities,"0,39","0,37","0,34","0,34","0,32",general
Quality of waterways (% with excellent water quality),Percent satisfied with cultural integrity/sense of security,Cleanliness and Improvements,"Beautiful, attractive place",Ensure the quality of the traditional resource use activities,Scenic beauty,"0,46","0,45","0,43","0,42","0,36",general
Quantity of waste per capita,Porosity,Loss of authenticity and becoming impersonal,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,No. of visitors and tourists,Distance from the centre of the old town zone,"0,34","0,3","0,25","0,24","0,19",general
Quantity of waste recycled (in tons p. year),Historic relic indicator,Archeological reserves,Frequency of sharing salmon legends annually,Percentage of Aboriginal participating in traditional activities,Barrow (traditional elements),"0,32","0,31","0,29","0,27","0,27",general
"Quick response system to municipal Health, safety and enivironmental problems",Cleanliness and Improvements,Percent satisfied with cultural integrity/sense of security,Enhancement urban green,Attractive streetscape,Safeguarding the terraced landscape,"0,39","0,25","0,24","0,23","0,22",general
Rail network,Research  centers,Critical distances in the network,Linear elements indicator,Spatial coherence,Study trails,"0,33","0,33","0,29","0,28","0,27",general
Rail network stops,Pressure of parking,Parking places in building surroundings,Protect hunting and trapping area,Maintaining traditional irrigation system,Critical distances in the network,"0,5","0,4","0,38","0,33","0,31",general
Rainwater Management,Maintaining traditional irrigation system,Safeguarding the terraced landscape,Perceptions of marine associated spirituality,Barrow (traditional elements),Plan that does not spoil natural and historical environment,"0,53","0,29","0,25","0,25","0,25",general
Rainwater harvesting system,Maintaining traditional irrigation system,Barrow (traditional elements),Local concept of sustainable use,Perceptions of marine associated spirituality,Ensure the quality of the traditional resource use activities,"0,53","0,31","0,3","0,29","0,27",general
Rate of citizen particip. in public affairs (public hearings),Community participation in process and type of participation,Number of citizens initiatives,Type of information given to visitors before and during site visits,Increase cultural exchange,Percent of population participating in first salmon ceremony in past year,"0,75","0,55","0,52","0,42","0,39",general
"Rate of coverage by mobile broadband (3G, 4G, 5G, mobile broadband speed)",Dike,Percent of population participating in first salmon ceremony in past year,Management type and frequency,Audiovisual and multimedia performances,Comparability of new construction with local vernacular,"0,28","0,28","0,24","0,23","0,21",general
Rate of employment in knowledge-intensive sectors/ creative industry,"Workspaces of Artisans, Intellectuals & youth",Effect on local business and jobs,Organizations listed on Councils Artist Register,Enhancement of industrial,Institutional management of International fests or expert meetings,"0,66","0,55","0,49","0,49","0,47",general
Rate of participation in municipal elections,Number of citizens initiatives,Community participation in process and type of participation,Number of cultural sites affected by natural disasters and urban expansion,No. of visitors and tourists,Proximity to residential areas,"0,54","0,44","0,38","0,34","0,33",general
Ratio of the municipal biodiversity strategy budget in terms of annual budget,Community arts funding,Development of a public arts fund,Valuation of local culture,Revenues from tourism (% farm income),Regional products sales (% PDO label),"0,56","0,52","0,48","0,46","0,46",general
Real-time information about transit services and parking,Pressure of parking,Accessibility,Funds for the improvement of the physical urban environment,Type of information given to visitors before and during site visits,Clear strategy,"0,49","0,34","0,32","0,31","0,31",general
Recreation and Education,Educational,Promotion and education in Past Identities programmes and spaces,Scientific/educational landscapes,Number of cultural–educational programs.,"Workspaces of Artisans, Intellectuals & youth","0,79","0,71","0,58","0,45","0,43",general
Recycle waste,Nostalgia,Barrow (traditional elements),"Vinehouse, cave",Recreation (motorized/non-motorized),Creative Uses for Old Buildings,"0,36","0,35","0,33","0,33","0,3",general
Recycled Materials,Barrow (traditional elements),Memory/transformative value,Remains of periods,Revitalization historic spaces,Commodifcation,"0,48","0,45","0,44","0,43","0,43",general
Recycled residential waste,Creative Uses for Old Buildings,Nostalgia,Archeological reserves,Barrow (traditional elements),"Vinehouse, cave","0,48","0,42","0,36","0,34","0,34",general
Recycling,Cemetries,Archeological reserves,Avenues of trees,Archaelogical sites,Barrow (traditional elements),"0,45","0,36","0,32","0,32","0,32",general
Reduced Parking Footprint,Pressure of parking,Diminish the negative visual impacts of forestry operation,Parking places in building surroundings,Protect hunting and trapping area,Number and visibility of disturbing elements and objects,"0,6","0,58","0,46","0,44","0,31",general
Regional Materials,Barrow (traditional elements),Archeological reserves,Historic relic indicator,Rareness (% of area in the study area),Memorial stones,"0,49","0,44","0,43","0,41","0,39",general
Regulation of Quantity of Water,Maintaining traditional irrigation system,Opportunities for ocean viewing,Frequency of sharing salmon legends annually,Compliance with tourist guidelines,Process transparency,"0,39","0,27","0,23","0,22","0,18",general
Reliability,Commodifcation,Familiarity,Spatial coherence,Percent satisfied with cultural integrity/sense of security,Sight line homogeneity,"0,57","0,55","0,51","0,48","0,45",general
Renewable Energy Production,Revitalization historic spaces,Renovation and new constructions,Traditional and environmental engineering,Commodifcation,Cleanliness and Improvements,"0,53","0,4","0,38","0,3","0,28",general
Renewable energy,Revitalization historic spaces,Renovation and new constructions,Traditional and environmental engineering,Cleanliness and Improvements,Commodifcation,"0,5","0,38","0,34","0,34","0,33",general
Research and development expenditure,Development of a public arts fund,Research  centers,Funds for building renovation,Investments required for restoration of cultural property,Availability of cultural site maintenance fund and resource,"0,45","0,44","0,43","0,41","0,39",general
Reserves and protected areas,Safeguarding the terraced landscape,Number of protected designated sites,Protection UNESCO sites,Protection of the Archaeological Heritage,Well-preserved village,"0,81","0,68","0,67","0,58","0,53",general
Resident population density,Proximity to residential areas,No. of visitors and tourists,Number of citizens initiatives,Community participation in process and type of participation,Respect for residents life-style,"0,78","0,42","0,37","0,33","0,31",general
Residential Energy Use,Proximity to residential areas,Iinstitutional management on Creative Residencies,Percentage of renovated buildings,Number of man-made structures with a function,Croft within the manor territory,"0,46","0,39","0,33","0,31","0,3",general
Residential Land Use,Proximity to residential areas,Land lot sizes,Cultural historical land use type,The age of land,Effect on Property Value,"0,56","0,48","0,4","0,36","0,35",general
Residential scheme,Proximity to residential areas,Croft within the manor territory,Castles,Manor or palace symbol in a printed map,Heritage,"0,54","0,52","0,4","0,38","0,36",general
Resource recovery,Ensure the quality of the traditional resource use activities,Availability of cultural site maintenance fund and resource,Understand how heritage conservation works,Memory/transformative value,Funds for building renovation,"0,57","0,44","0,38","0,38","0,37",general
Resource-industrial land use,Landscape value index,Ensure the quality of the traditional resource use activities,Land lot sizes,Landscapes injured,Effectiveness of landscape management,"0,45","0,42","0,38","0,35","0,35",general
Response time for fire,Management type and frequency,Spiritual services,Spiritual/religious landscapes,Percentage of renovated buildings,Renovation and new constructions,"0,36","0,34","0,33","0,31","0,31",general
Responsible Sourcing of Materials,Using local material in construction,Ensure the quality of the traditional resource use activities,Availability of cultural site maintenance fund and resource,Funds for building renovation,Commodifcation,"0,47","0,46","0,38","0,37","0,36",general
Restricted traffic zones,Pressure of parking,Parking places in building surroundings,Protect hunting and trapping area,Number of protected designated sites,Type of information given to visitors before and during site visits,"0,72","0,46","0,46","0,37","0,25",general
Reuse of construction waste,Creative Uses for Old Buildings,Funds for building renovation,Archeological reserves,"Vinehouse, cave",Building footprints,"0,53","0,4","0,3","0,29","0,27",general
"Reuse potential of the city, region",Creative Uses for Old Buildings,Revitalization historic spaces,Effect on area revitalization/development,Recreation (motorized/non-motorized),Funds for the improvement of the physical urban environment,"0,63","0,46","0,46","0,41","0,35",general
Risk Exposure Mode Wise,Levels of damage,Level of sensitivity of interpretive material and activities pursued,Viewpoints,Places of events,Study trails,"0,4","0,4","0,34","0,32","0,31",general
Risk imposed by modes,Levels of damage,Number and visibility of disturbing elements and objects,Level of sensitivity of interpretive material and activities pursued,Values,Effect on Property Value,"0,46","0,39","0,36","0,35","0,3",general
Risk of natural disasters,Number of cultural sites affected by natural disasters and urban expansion,Protection of culturally important species,Levels of damage,Landscapes injured,Composite tree risk index,"0,46","0,45","0,43","0,41","0,4",general
Risk reduction and control programs,Diminish the negative visual impacts of forestry operation,Protect hunting and trapping area,Levels of damage,Protection of culturally important species,Effectiveness of planning in relation to the landscape,"0,48","0,47","0,46","0,37","0,35",general
Road Surface Per Capita (M 2),Urban green space,Degree of unobstructed view,Proximity to residential areas,Free time & social interaction,Museums,"0,33","0,27","0,24","0,24","0,24",general
Road density (km/km2),Urban green space,Spaces rural pedestrian,Acres of open space,Critical distances in the network,Occupied spaces,"0,42","0,36","0,32","0,3","0,27",general
"Road traffic efficiency, travel time, congestion levels, congestion management",Pressure of parking,Parking places in building surroundings,Funds for the improvement of the physical urban environment,Consult with cultural owners to modify operations such that they are acceptable,Critical distances in the network,"0,64","0,28","0,25","0,24","0,23",general
Road traffic signal systems,Pressure of parking,Parking places in building surroundings,Statues (sacral/non sacral),Clear strategy,"Number of view axes, panoramas","0,52","0,36","0,23","0,23","0,21",general
SMS for public transport information,L/T ratio,Museums,Audiovisual and multimedia performances,Dike,Linear elements indicator,"0,31","0,31","0,28","0,25","0,23",general
SMS for traffic alerts,Pressure of parking,Clear strategy,Statues (sacral/non sacral),Number and visibility of disturbing elements and objects,Compliance with tourist guidelines,"0,4","0,26","0,23","0,22","0,21",general
Safe and healthy daily markets,Percent satisfied with cultural integrity/sense of security,Satisfaction living/working in heritage area,Comfortable use,Cleanliness and Improvements,"Beautiful, attractive place","0,56","0,48","0,48","0,45","0,4",general
Safe and healthy sport sites,Comfortable use,Areas of importance for landscape-related recreational use or tourism,"Beautiful, attractive place","Cultural, leisure and sport facilities, programs, courses",Percent satisfied with cultural integrity/sense of security,"0,54","0,45","0,44","0,43","0,43",general
Safe construction of urban buildings,Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Building footprints,Plan that does not spoil natural and historical environment,Hotel architecture harmonized with environment,"0,4","0,37","0,37","0,37","0,36",general
Safe cultural and religious sites,Percent satisfied with cultural integrity/sense of security,"Religious or sacred place, feeling or value",Safeguarding the terraced landscape,Spiritual/religious landscapes,Churches,"0,57","0,55","0,53","0,52","0,46",general
Safe energy distribution network,Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Plan that does not spoil natural and historical environment,Comfortable use,Protection UNESCO sites,"0,52","0,5","0,43","0,35","0,33",general
Safe pedestrians pathways,Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Compliance with tourist guidelines,Comfortable use,Familiarity,"0,42","0,4","0,39","0,33","0,31",general
Safe playing and recreation equipment,Safeguarding the terraced landscape,Protection UNESCO sites,Plan that does not spoil natural and historical environment,Comfortable use,Objects as recreation attractions,"0,48","0,44","0,4","0,39","0,37",general
Safe streets,Safeguarding the terraced landscape,Percent satisfied with cultural integrity/sense of security,Comfortable use,Plan that does not spoil natural and historical environment,Well-preserved village,"0,58","0,55","0,47","0,4","0,39",general
Safe urban road networks,Percent satisfied with cultural integrity/sense of security,Safeguarding the terraced landscape,Comfortable use,Attractive streetscape,Urban green space,"0,49","0,42","0,38","0,33","0,32",general
Safety,Safeguarding the terraced landscape,Protection UNESCO sites,Percent satisfied with cultural integrity/sense of security,Number of protected designated sites,Well-preserved village,"0,68","0,44","0,42","0,41","0,4",general
Safety for elderly and disabled people,Safeguarding the terraced landscape,Number of protected designated sites,Protection UNESCO sites,Protection of the Archaeological Heritage,Adjustment for disabled,"0,52","0,4","0,39","0,38","0,37",general
Safety of public places,Safeguarding the terraced landscape,Number of protected designated sites,Percent satisfied with cultural integrity/sense of security,Protection UNESCO sites,Attractive streetscape,"0,51","0,4","0,34","0,33","0,32",general
Sanitary landfill,Loss of authenticity and becoming impersonal,Garden,Plan that does not spoil natural and historical environment,Garden planning suitable with environment,Cleanliness and Improvements,"0,36","0,33","0,32","0,32","0,32",general
Satisfaction (perception of) with quality of life and urban services,Attractive streetscape,Level of satisfaction with the visit to cultural sites of the destination,"Beautiful, attractive place",Satisfaction living/working in heritage area,Comfortable use,"0,56","0,54","0,52","0,51","0,49",general
Satisfaction with Public Transport,Comfortable use,Level of satisfaction with the visit to cultural sites of the destination,Satisfaction living/working in heritage area,Percent satisfied with cultural integrity/sense of security,Wellness acoustic,"0,57","0,46","0,45","0,41","0,41",general
Satisfaction with cycle paths,Comfortable use,Satisfaction living/working in heritage area,Events successfully implemented and evaluated,Percent satisfied with cultural integrity/sense of security,Level of satisfaction with the visit to cultural sites of the destination,"0,63","0,59","0,53","0,49","0,49",general
Satisfaction with safety as a cyclist,Percent satisfied with cultural integrity/sense of security,Comfortable use,Satisfaction living/working in heritage area,Level of satisfaction with the visit to cultural sites of the destination,"Beautiful, attractive place","0,63","0,6","0,51","0,46","0,41",general
Satisfaction with safety as a pedestrian,Percent satisfied with cultural integrity/sense of security,Comfortable use,Satisfaction living/working in heritage area,Level of satisfaction with the visit to cultural sites of the destination,Safeguarding the terraced landscape,"0,63","0,52","0,43","0,42","0,4",general
Secondary industry capital value,Effect on Property Value,Revenues from tourism (% farm income),Landscape value index,Values,Enhancement of industrial,"0,65","0,49","0,48","0,42","0,41",general
Secondary school,Educational,Promotion and education in Past Identities programmes and spaces,Scientific/educational landscapes,Areas and objects of educational or scientific value,Croft within the manor territory,"0,71","0,46","0,45","0,36","0,34",general
Security by design,Clear strategy,Effectiveness of planning in relation to the landscape,Efficiency of planning in relation to the landscape,Protect hunting and trapping area,Safeguarding the terraced landscape,"0,56","0,56","0,5","0,47","0,45",general
Selective collect,Regional products sales (% PDO label),Protect hunting and trapping area,Values,"Commercial activities linked to Crats, Artisans, Craftsmanship,",Croft within the manor territory,"0,41","0,38","0,35","0,35","0,35",general
Selfsufficient energy,Using local material in construction,Arable field indicator,Local concept of sustainable use,Commodifcation,Revitalization historic spaces,"0,37","0,29","0,27","0,26","0,25",general
Senior care homes,The age of land,Traditional arts,Heritage,Heritage objects,Historical sites,"0,47","0,42","0,41","0,39","0,36",general
"Sensing and monitoring for real-time, smart and automated traffic management",Pressure of parking,Clear strategy,Protect hunting and trapping area,Enhancement of industrial,Efficiency of the measures referred to landscape planning,"0,5","0,5","0,41","0,35","0,33",general
Separation and collection of garbage,Distance from the centre of the old town zone,Viewsheds,Protection UNESCO sites,Loss of authenticity and becoming impersonal,Arable field indicator,"0,42","0,41","0,33","0,27","0,27",general
Separation of wastewater and stormwater,Distance from the centre of the old town zone,Plastic Arts,Protection UNESCO sites,Viewsheds,Places heterotopic,"0,4","0,36","0,33","0,32","0,3",general
Sewage and wastewater management and treatment/recycling,Perceptions of marine associated spirituality,Maintaining traditional irrigation system,Barrow (traditional elements),"Vinehouse, cave",Viewsheds,"0,41","0,3","0,29","0,27","0,26",general
Sewerage system,Maintaining traditional irrigation system,Barrow (traditional elements),Dike,Viewsheds,"Vinehouse, cave","0,58","0,38","0,28","0,27","0,26",general
Shannon index of economic diversity,Regional products sales (% PDO label),Experience with local natural- non-agricultural and non-timber products,Effect on Property Value,Distance from the centre of the old town zone,Number of products of denominated origin,"0,48","0,36","0,36","0,36","0,34",general
Shape index of Green Space,Urban green space,Garden,Enhancement urban green,Traditional and environmental engineering,Permanent grassland indicator,"0,52","0,41","0,37","0,36","0,35",general
Share of blocks served by Green Space > 0.5 ha,Urban green space,Degree of unobstructed view,Acres of open space,Total hedgerow length,Permanent grassland indicator,"0,55","0,45","0,42","0,33","0,3",general
Share of e-business and E-commerce transactions,Regional products sales (% PDO label),Effect on local business and jobs,"Commercial activities linked to Crats, Artisans, Craftsmanship,",Effect on Property Value,Number of products of denominated origin,"0,48","0,41","0,38","0,35","0,31",general
Share of investment in fixed assets to GDP,Regional products sales (% PDO label),Dike,Effect on Property Value,Number of products of denominated origin,Values,"0,44","0,41","0,36","0,35","0,33",general
Share of population served by Green Space > 0.5 ha,Urban green space,Acres of open space,Degree of unobstructed view,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,Opportunities for ocean viewing,"0,5","0,45","0,38","0,32","0,28",general
Share of total trips made by active (non-motorized)/public transport modes,"Places of socialisation (parks, benches, etc.)",Community participation in process and type of participation,Number of citizens initiatives,No. of visitors and tourists,Spaces rural pedestrian,"0,39","0,39","0,38","0,35","0,32",general
Shared architecture for multi-level governance and inter-agency collaboration,Structures: governance of cultural ecosystem services indicator,Processes: governance of cultural ecosystem services indicator,Results: delivery of cultural ecosystem services indicator,Clear strategy,Implementation of activities in the area,"0,58","0,51","0,49","0,49","0,45",general
Sharing mode,Accessibility,Process transparency,Spatial coherence,Commodifcation,AHB,"0,57","0,54","0,46","0,4","0,39",general
Shelters for disaster mitigation,Safeguarding the terraced landscape,Protection UNESCO sites,Number of protected designated sites,Protection of the Archaeological Heritage,Protect hunting and trapping area,"0,64","0,6","0,49","0,45","0,43",general
Site micro-climate,Sense of place landscapes,Respect for residents life-style,Place Identity,Places of personality,Point field elements indicator,"0,43","0,38","0,38","0,37","0,37",general
Size and quality of community centers and public indoor/outdoor recreation spaces,"Places of socialisation (parks, benches, etc.)","Cultural, leisure and sport facilities, programs, courses",Improved attendance and participation in arts activities and events,Areas of importance for landscape-related recreational use or tourism,"Performing arts, national monuments, museums","0,56","0,51","0,46","0,45","0,45",general
Smart and appropriate location,Places of Taste,Point field elements indicator,"Beautiful, attractive place",Clear strategy,Place Identity,"0,56","0,55","0,54","0,54","0,52",general
Smart city vision and inclusive digital strategy,Attractive streetscape,Clear strategy,State of the building,Enhancement urban green,View-leading elements,"0,39","0,38","0,35","0,34","0,3",general
Smartphone Penetration,Number and visibility of disturbing elements and objects,Number of citizens initiatives,Percent of population participating in first salmon ceremony in past year,No. of visitors and tourists,Linear elements indicator,"0,31","0,28","0,28","0,27","0,24",general
Social Involvement,Social bonds,Social preferences,Community participation in process and type of participation,Participate cultural activities,Understand the culture and society,"0,75","0,58","0,56","0,43","0,43",general
Social cohesion,Social bonds,Familiarity,Spatial coherence,Commodifcation,Increased harmonization of landscapes,"0,69","0,5","0,49","0,45","0,38",general
Social housing,Proximity to residential areas,Social preferences,Social bonds,Castles,Garden,"0,51","0,34","0,32","0,29","0,27",general
Solid Waste Management,Cleanliness and Improvements,Plan that does not spoil natural and historical environment,Efficiency of landscape management,Ensure the quality of the traditional resource use activities,Efficiency of planning in relation to the landscape,"0,49","0,35","0,32","0,31","0,28",general
Solid residue / efficiency,Well-preserved village,Ensure the quality of the traditional resource use activities,Maintaining traditional irrigation system,Comfortable use,Events successfully implemented and evaluated,"0,55","0,48","0,47","0,45","0,44",general
Sopping mall,Regional products sales (% PDO label),Pressure of parking,Museums,Effect on local business and jobs,No. of visitors and tourists,"0,45","0,34","0,32","0,28","0,26",general
Space allocated to nature conservation,Protection of culturally important species,natural and cultural landscapes and components of landscape with importance for natural and cultural heritage,Protection UNESCO sites,Garden planning suitable with environment,Plan that does not spoil natural and historical environment,"0,68","0,62","0,58","0,53","0,52",general
Sport facilities and services,"Cultural, leisure and sport facilities, programs, courses",Plastic Arts,Objects as recreation attractions,Opportunities for ocean viewing,"Places of socialisation (parks, benches, etc.)","0,62","0,49","0,47","0,37","0,37",general
Stakeholder consultation,Viewpoints,Process transparency,Clear strategy,Number of citizens initiatives,Type of information given to visitors before and during site visits,"0,54","0,54","0,52","0,42","0,42",general
Standard of living,Comfortable use,Cleanliness and Improvements,Proximity to residential areas,Accessibility,The age of land,"0,34","0,33","0,31","0,28","0,27",general
State of health reported,Therapeutic value,Number of healing plants,Process transparency,Sight line homogeneity,Cleanliness and Improvements,"0,35","0,34","0,34","0,27","0,26",general
Status of implementation of quantitative evaluations for biodiversity and ecosystem services,Results: delivery of cultural ecosystem services indicator,Events successfully implemented and evaluated,Implementation of activities in the area,Level of sensitivity of interpretive material and activities pursued,Processes: governance of cultural ecosystem services indicator,"0,5","0,44","0,44","0,43","0,39",general
Status of inter-sector collaborations within individual cities,Number of citizens initiatives,Community participation in process and type of participation,Organizations listed on Councils Artist Register,Number of officially designated sites and its management,Creative hubs and meeting points,"0,45","0,41","0,4","0,37","0,37",general
Status of participatory monitoring of biodiversity,"Use of traditional or community knowledge of species occurrence, frequency and distribution",Frequency of sharing salmon legends annually,Community participation in process and type of participation,Percentage of Aboriginal participating in traditional activities,Percent of population participating in first salmon ceremony in past year,"0,45","0,4","0,37","0,37","0,36",general
"Strategies and infrastructure for timely data communication, sharing, and reporting",Events successfully implemented and evaluated,Process transparency,Clear strategy,Implementation of activities in the area,Structures: governance of cultural ecosystem services indicator,"0,56","0,55","0,52","0,49","0,47",general
Street network,Critical distances in the network,Parking places in building surroundings,Urban green space,Places of events,Attractive streetscape,"0,43","0,35","0,31","0,27","0,25",general
Street/pedestrian area smart/automatic lighting management system using ICT,Enhancement urban green,Urban green space,Avenues of trees,Attractive streetscape,Biorich trees indicator,"0,3","0,27","0,2","0,2","0,19",general
Streets with sidewalks,Parking places in building surroundings,Building footprints,Distance from the centre of the old town zone,Proximity to residential areas,Conservation of facades,"0,49","0,44","0,31","0,31","0,29",general
Strong leadership promoting innovation and smart solutions,Clear strategy,Enhancement of industrial,Events successfully implemented and evaluated,Efficiency of planning in relation to the landscape,Efficiency of the measures referred to landscape planning,"0,6","0,58","0,54","0,52","0,5",general
"Supporting of Health, safety and enivironmental Non-Governmental Organizations s",Number of cultural volunteers,"Protecting and enhancing cultural heritage, local identity and assets",Conservation of specific important habitats and cultural sites,Safeguarding the terraced landscape,Sustainable use of heritage and local traditions in tourism,"0,5","0,35","0,34","0,32","0,31",general
Surface runoff storing capacity,Archeological reserves,Protection of the Archaeological Heritage,Maintaining traditional irrigation system,Ensure the quality of the traditional resource use activities,Memorial stones,"0,44","0,4","0,38","0,35","0,33",general
Surface water quality,Opportunities for ocean viewing,Cleanliness and Improvements,Viewscape quality,Degree of unobstructed view,Plastic Arts,"0,48","0,46","0,46","0,41","0,32",general
Sustainability Awareness,Local concept of sustainable use,Commodifcation,Spatial coherence,Process transparency,Structures: governance of cultural ecosystem services indicator,"0,42","0,39","0,34","0,32","0,31",general
Sustainability of transport system,Spatial coherence,Commodifcation,Maintaining traditional irrigation system,Events successfully implemented and evaluated,Clear strategy,"0,43","0,29","0,29","0,28","0,27",general
Sustainable Natural Resource Management,Ensure the quality of the traditional resource use activities,Local concept of sustainable use,Sustainable use of heritage and local traditions in tourism,Garden planning suitable with environment,Understand how heritage conservation works,"0,64","0,52","0,46","0,44","0,43",general
Sustainable Resource Management,Local concept of sustainable use,Ensure the quality of the traditional resource use activities,Availability of cultural site maintenance fund and resource,Maintaining traditional irrigation system,Sustainable use of heritage and local traditions in tourism,"0,57","0,55","0,47","0,41","0,41",general
Sustainable Storm water Design and Management,Maintaining traditional irrigation system,Local concept of sustainable use,Ensure the quality of the traditional resource use activities,Safeguarding the terraced landscape,Garden planning suitable with environment,"0,47","0,41","0,37","0,3","0,3",general
